Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
TXN100082,USER2215,197.05,Recharge,9,Android,Same City,0,3835,5,UPI PIN,0
TXN100083,USER3165,1485.6,Merchant,11,Android,Same City,0,2095,2,UPI PIN,1
TXN100084,USER4176,1536.83,Merchant,5,iOS,Same City,0,154,2,UPI PIN,0
TXN100085,USER2235,339.37,Merchant,3,Android,Same City,0,846,3,UPI PIN,0
TXN100086,USER4368,2558.48,Merchant,21,Android,Same City,1,3731,6,Biometric,1
TXN100087,USER4596,412.2,Bill Payment,0,Android,Same City,0,3178,3,UPI PIN,0
TXN100088,USER1104,175.9,Recharge,5,Android,Same City,0,1896,3,UPI PIN,0
TXN100089,USER1526,5185.95,Merchant,12,Android,Different City,0,2788,4,UPI PIN,0
TXN100090,USER1517,3672.32,Bill Payment,7,iOS,Different City,0,1677,1,UPI PIN,1
TXN100091,USER4008,522.54,Recharge,13,Android,Same City,0,2826,5,UPI PIN,0
TXN100092,USER1358,954.93,Bill Payment,3,Android,Different City,0,1461,3,Auto Debit,0
TXN100093,USER4420,1105.86,P2P,5,Web,Different City,0,1445,1,UPI PIN,0
TXN100094,USER4519,4727.09,Merchant,21,Android,Different City,0,1394,4,UPI PIN,1
TXN100095,USER3332,3446.91,Merchant,3,Android,Same City,0,783,4,UPI PIN,1
TXN100096,USER3328,1362.81,Bill Payment,20,iOS,Same City,0,954,3,Auto Debit,0
TXN100097,USER2895,2217.88,Merchant,22,iOS,Different State,0,3087,1,UPI PIN,0
TXN100098,USER4767,696.99,P2P,15,Android,Same City,0,1698,4,Biometric,0
TXN100099,USER1162,1581.95,P2P,16,iOS,Same City,1,2836,3,UPI PIN,0
TXN100100,USER3243,2779.29,P2P,0,iOS,Same City,0,1248,2,UPI PIN,0
TXN100101,USER4095,677.91,P2P,8,iOS,Different City,0,3713,1,UPI PIN,0
TXN100102,USER1189,128.74,Merchant,8,Android,Different State,1,2181,6,UPI PIN,0
TXN100103,USER4296,3902.69,Merchant,4,Android,Same City,1,3650,5,UPI PIN,0
TXN100104,USER1372,1763.23,Bill Payment,11,Android,Same City,0,3946,2,Biometric,0
TXN100105,USER1228,892.24,Merchant,2,iOS,Same City,0,3234,2,UPI PIN,0
TXN100106,USER4757,3738.35,Recharge,3,Android,Different State,2,1723,4,UPI PIN,1
TXN100107,USER1002,1559.17,P2P,16,iOS,Same City,0,3302,2,Biometric,0
TXN100108,USER4040,6094.85,P2P,7,Android,Same City,0,3951,5,Biometric,1
TXN100109,USER1485,515.73,Merchant,23,Android,Same City,2,3208,6,UPI PIN,0
TXN100110,USER3409,1387.07,Bill Payment,16,iOS,Same City,0,1376,3,Biometric,0
TXN100111,USER1877,899.0,Recharge,12,Android,Same City,0,2540,4,Biometric,1
TXN100112,USER4652,976.16,P2P,5,iOS,Same City,1,2830,0,UPI PIN,0
TXN100113,USER2497,3628.0,P2P,22,iOS,Same City,0,688,5,UPI PIN,0
TXN100114,USER1865,79.17,Recharge,2,Android,Same City,0,1478,2,Biometric,0
TXN100115,USER2411,900.97,Recharge,4,Android,Different State,1,3776,5,UPI PIN,1
TXN100116,USER2744,1961.82,Recharge,4,Android,Same City,0,2520,3,Biometric,0
TXN100117,USER2350,2973.81,Merchant,15,iOS,Same City,1,743,7,UPI PIN,0
TXN100118,USER3759,3273.8,Bill Payment,21,Android,Same City,0,1165,6,UPI PIN,0
TXN100119,USER4952,1307.36,P2P,8,Android,Same City,0,2669,3,Auto Debit,0
TXN100120,USER4938,1577.22,Bill Payment,22,iOS,Same City,1,1497,4,Auto Debit,0
TXN100121,USER2323,2156.72,Bill Payment,20,Web,Same City,0,1749,2,UPI PIN,1
TXN100122,USER3995,2068.85,Recharge,9,Android,Different State,0,1441,2,UPI PIN,0
TXN100123,USER2430,4745.97,Recharge,12,Android,Same City,1,3695,2,UPI PIN,0
TXN100124,USER2020,466.78,Bill Payment,17,Android,Same City,0,1228,0,UPI PIN,0
TXN100125,USER4450,3202.79,P2P,9,Android,Same City,0,1372,3,UPI PIN,0
TXN100126,USER2681,52.29,Bill Payment,1,iOS,Same City,0,1263,4,Biometric,0
TXN100127,USER3055,931.54,Recharge,13,Android,Same City,0,2550,2,UPI PIN,0
TXN100128,USER1962,1298.9,P2P,11,Android,Same City,0,3105,4,Biometric,1
TXN100129,USER2771,1736.22,Bill Payment,14,Android,Same City,0,1189,3,Biometric,1
TXN100130,USER4186,4894.39,Merchant,18,Android,Same City,0,1553,2,UPI PIN,0
TXN100131,USER3515,605.19,Merchant,7,Android,Same City,0,1300,2,Biometric,0
TXN100132,USER1244,689.22,Bill Payment,20,iOS,Different City,0,2229,2,UPI PIN,0
TXN100133,USER2440,349.51,P2P,22,Android,Different State,1,1159,4,UPI PIN,1
TXN100134,USER2167,3335.22,P2P,6,Android,Different State,0,3870,1,UPI PIN,0
TXN100135,USER1295,449.57,Bill Payment,22,Android,Same City,0,965,4,UPI PIN,0
TXN100136,USER4624,2253.45,P2P,7,Android,Different State,1,3481,7,UPI PIN,1
TXN100137,USER1854,1890.84,Bill Payment,20,Android,Same City,1,1301,5,UPI PIN,1
TXN100138,USER1552,2403.12,Recharge,9,Android,Different State,0,3492,3,UPI PIN,0
TXN100139,USER4607,1002.7,Merchant,3,iOS,Same City,0,2847,2,Auto Debit,0
TXN100140,USER4537,4525.77,P2P,20,Android,Different City,1,1441,3,UPI PIN,1
TXN100141,USER4375,963.3,Bill Payment,21,Android,Different City,0,552,1,UPI PIN,0
TXN100142,USER1899,120.48,Recharge,7,Android,Different State,0,3567,2,UPI PIN,0
TXN100143,USER4733,480.33,Bill Payment,9,Android,Same City,0,2195,3,UPI PIN,0
TXN100144,USER2386,1396.88,P2P,19,Android,Same City,0,2939,3,UPI PIN,0
TXN100145,USER1551,553.1,Merchant,20,Android,Different City,1,990,1,UPI PIN,0
TXN100146,USER1338,3158.27,Recharge,18,iOS,Same City,0,1885,6,Biometric,0
TXN100147,USER4152,1274.86,Recharge,8,Web,Different City,0,2493,8,UPI PIN,0
TXN100148,USER4918,589.72,Merchant,6,iOS,Same City,1,1370,2,UPI PIN,0
TXN100149,USER1663,1029.76,P2P,5,iOS,Same City,1,1380,5,UPI PIN,0
TXN100150,USER4410,4558.78,Bill Payment,19,iOS,Same City,2,1354,0,Biometric,0
TXN100151,USER4660,2797.33,Merchant,11,Android,Same City,0,1756,3,UPI PIN,0
TXN100152,USER4171,3262.84,Bill Payment,7,Android,Same City,0,875,2,UPI PIN,1
TXN100153,USER2833,396.99,Recharge,1,iOS,Same City,0,2119,3,Biometric,0
TXN100154,USER3138,821.1,Bill Payment,7,Web,Same City,0,762,4,Biometric,0
TXN100155,USER3870,1272.36,P2P,16,iOS,Same City,0,771,0,UPI PIN,0
TXN100156,USER4654,2405.0,Recharge,18,Android,Same City,0,3226,5,UPI PIN,1
TXN100157,USER2643,261.29,P2P,13,Web,Same City,1,1172,4,Auto Debit,0
TXN100158,USER3684,1774.72,Bill Payment,5,Android,Same City,0,1071,1,UPI PIN,0
TXN100159,USER2333,1520.41,Merchant,12,Android,Same City,0,1911,1,UPI PIN,1
TXN100160,USER3037,1409.31,Merchant,7,Android,Same City,0,529,4,UPI PIN,0
TXN100161,USER2117,4599.44,Recharge,10,Android,Same City,0,2336,5,UPI PIN,0
TXN100162,USER1748,45.61,Bill Payment,20,iOS,Different City,0,1622,2,UPI PIN,0
TXN100163,USER4337,518.82,P2P,8,Android,Same City,0,46,2,UPI PIN,0
TXN100164,USER2991,8466.45,Bill Payment,19,Android,Different State,0,809,3,UPI PIN,0
TXN100165,USER4482,316.49,Recharge,7,Android,Same City,1,3589,1,UPI PIN,0
TXN100166,USER3748,7899.48,Recharge,20,Android,Different City,0,1691,3,Biometric,1
TXN100167,USER3271,9.21,P2P,0,Android,Different State,0,2467,4,UPI PIN,0
TXN100168,USER1965,2177.23,Bill Payment,15,iOS,Same City,0,2079,4,UPI PIN,1
TXN100169,USER4043,296.04,Recharge,3,Web,Same City,0,1949,4,UPI PIN,0
TXN100170,USER4500,314.75,Recharge,0,iOS,Same City,1,3063,6,UPI PIN,1
TXN100171,USER3591,1670.22,Recharge,8,Android,Same City,2,3046,2,UPI PIN,1
TXN100172,USER2519,97.76,Merchant,20,iOS,Same City,0,2248,2,UPI PIN,0
TXN100173,USER1520,1249.32,P2P,14,Android,Same City,0,91,5,Biometric,0
TXN100174,USER3072,189.25,Bill Payment,10,Android,Same City,0,427,1,UPI PIN,0
TXN100175,USER3202,16.03,Merchant,11,Android,Same City,1,570,4,UPI PIN,0
TXN100176,USER2916,107.26,P2P,12,Web,Same City,0,2368,5,Auto Debit,0
TXN100177,USER2129,546.12,P2P,15,Android,Same City,0,92,3,UPI PIN,0
TXN100178,USER2275,7.46,P2P,19,iOS,Same City,1,3125,1,UPI PIN,0
TXN100179,USER2083,2325.99,Bill Payment,23,Android,Same City,0,920,6,UPI PIN,1
TXN100180,USER2519,1343.39,P2P,2,Android,Same City,0,1342,1,UPI PIN,0
TXN100181,USER3062,987.52,Merchant,5,Android,Same City,1,2160,2,Auto Debit,0
TXN100182,USER2885,799.8,Bill Payment,7,iOS,Same City,0,1948,3,UPI PIN,0
TXN100183,USER4357,476.88,Merchant,12,Android,Same City,0,2271,1,UPI PIN,0
TXN100184,USER4190,171.5,Bill Payment,9,Android,Same City,0,349,3,UPI PIN,0
TXN100185,USER3601,6461.41,Merchant,6,Android,Different State,0,1201,5,UPI PIN,0
TXN100186,USER4196,3721.74,P2P,3,Android,Same City,0,3787,2,UPI PIN,0
TXN100187,USER3919,1419.71,Bill Payment,18,Android,Same City,0,3281,5,Biometric,0
TXN100188,USER4111,1900.17,Bill Payment,12,Android,Different State,0,670,2,UPI PIN,1
TXN100189,USER2272,1500.11,Merchant,0,iOS,Different City,0,1165,5,Biometric,0
TXN100190,USER2193,2331.29,Merchant,10,Android,Different City,0,2699,3,UPI PIN,0
TXN100191,USER4591,384.14,Recharge,23,Android,Same City,0,3349,1,UPI PIN,0
TXN100192,USER3964,1060.1,Merchant,0,Android,Same City,0,1379,2,UPI PIN,0
TXN100193,USER2969,3533.98,Recharge,18,Android,Same City,0,459,3,UPI PIN,0
TXN100194,USER4001,2070.0,Recharge,2,Android,Same City,0,1884,5,UPI PIN,1
TXN100195,USER3636,1377.29,P2P,10,iOS,Same City,0,1134,2,UPI PIN,0
TXN100196,USER4105,39.75,P2P,13,iOS,Different City,0,3690,4,UPI PIN,0
TXN100197,USER1226,2796.85,Bill Payment,17,Android,Same City,0,3443,2,UPI PIN,1
TXN100198,USER2171,1785.49,Merchant,12,Android,Same City,0,2787,2,UPI PIN,0
TXN100199,USER3720,2365.31,P2P,5,Android,Different City,0,2034,5,UPI PIN,0
TXN100200,USER3592,1679.61,Merchant,20,iOS,Different State,1,699,3,UPI PIN,0
TXN100201,USER1029,338.52,Merchant,10,iOS,Different City,0,887,2,Biometric,0
TXN100202,USER1284,633.03,Recharge,17,Android,Same City,0,2808,1,UPI PIN,1
TXN100203,USER1468,614.94,Recharge,14,iOS,Different City,1,3854,3,UPI PIN,0
TXN100204,USER1673,481.78,Merchant,8,iOS,Same City,0,2981,2,UPI PIN,0
TXN100205,USER1427,351.14,Merchant,17,Android,Same City,0,2773,3,UPI PIN,0
TXN100206,USER3282,3839.14,Merchant,4,iOS,Same City,1,2128,0,UPI PIN,1
TXN100207,USER4430,203.88,P2P,17,Android,Same City,0,2632,2,Auto Debit,0
TXN100208,USER2235,385.61,Recharge,11,iOS,Same City,0,2861,3,UPI PIN,0
TXN100209,USER1340,5524.75,Recharge,17,Android,Same City,1,1900,1,Biometric,0
TXN100210,USER3593,2400.12,Recharge,19,iOS,Different City,0,3031,4,UPI PIN,1
TXN100211,USER2538,3832.48,P2P,16,Android,Same City,0,327,4,Biometric,1
TXN100212,USER1965,107.46,Recharge,2,Android,Different City,0,909,8,UPI PIN,1
TXN100213,USER3197,54.15,Merchant,21,Android,Same City,0,437,4,Biometric,0
TXN100214,USER1917,1070.86,Recharge,13,iOS,Same City,0,304,5,Biometric,0
TXN100215,USER2695,2112.64,Merchant,8,Android,Same City,0,664,0,Auto Debit,0
TXN100216,USER1498,3228.88,P2P,9,Web,Same City,0,1129,3,Biometric,1
TXN100217,USER2334,3279.78,P2P,9,Android,Same City,1,998,2,UPI PIN,0
TXN100218,USER3680,453.42,Bill Payment,22,Android,Same City,0,3437,5,UPI PIN,0
TXN100219,USER2201,1475.29,Recharge,5,iOS,Different City,0,2071,5,UPI PIN,0
TXN100220,USER1775,1644.26,Recharge,20,Android,Same City,0,1988,5,UPI PIN,0
TXN100221,USER2593,1320.76,Recharge,15,Android,Different City,0,2909,1,Biometric,0
TXN100222,USER1753,403.85,Merchant,7,Android,Same City,2,3461,1,UPI PIN,0
TXN100223,USER4979,1437.92,Merchant,4,Web,Same City,1,3132,1,Biometric,0
TXN100224,USER4160,203.42,P2P,22,Android,Same City,0,3736,1,Auto Debit,0
TXN100225,USER1879,3304.31,Merchant,12,iOS,Same City,0,3926,4,UPI PIN,0
TXN100226,USER4033,1410.46,Merchant,11,Android,Different City,0,1885,3,UPI PIN,1
TXN100227,USER1182,975.92,Recharge,9,iOS,Different State,0,527,2,UPI PIN,0
TXN100228,USER3911,1690.72,P2P,11,Android,Same City,0,582,2,Auto Debit,1
TXN100229,USER3334,7083.92,P2P,20,Android,Different State,0,436,0,UPI PIN,0
TXN100230,USER4700,1409.63,Recharge,20,iOS,Same City,0,2281,2,UPI PIN,1
TXN100231,USER3159,273.93,Bill Payment,15,Android,Different State,0,1971,7,UPI PIN,0
TXN100232,USER4920,4029.12,P2P,7,iOS,Same City,0,1052,3,UPI PIN,1
TXN100233,USER4008,785.78,P2P,5,iOS,Different State,0,1447,1,UPI PIN,0
TXN100234,USER4194,548.56,Merchant,19,Android,Different State,0,3563,6,UPI PIN,0
TXN100235,USER2398,467.22,P2P,19,Android,Same City,0,2056,3,UPI PIN,0
TXN100236,USER2190,66.56,Merchant,17,iOS,Different City,0,89,6,Auto Debit,0
TXN100237,USER3588,889.13,Bill Payment,12,Android,Same City,0,3355,3,UPI PIN,0
TXN100238,USER4861,911.45,Merchant,19,Android,Different City,0,3884,4,Auto Debit,0
TXN100239,USER3171,513.22,Bill Payment,3,iOS,Same City,0,1782,4,UPI PIN,0
TXN100240,USER1075,1959.94,P2P,20,iOS,Same City,0,77,4,Biometric,0
TXN100241,USER1877,2518.58,Merchant,13,iOS,Same City,0,3729,4,UPI PIN,0
TXN100242,USER1089,5334.87,P2P,2,iOS,Same City,0,1024,3,UPI PIN,0
TXN100243,USER1574,1275.23,Merchant,23,Android,Same City,0,2200,2,UPI PIN,0
TXN100244,USER3546,4907.62,Recharge,10,Android,Same City,1,377,3,UPI PIN,0
TXN100245,USER1306,1544.62,Merchant,0,Android,Same City,0,1706,3,Biometric,0
TXN100246,USER3408,4772.8,Recharge,12,iOS,Same City,0,2165,2,Biometric,0
TXN100247,USER1691,42.52,Merchant,5,iOS,Same City,0,2455,4,Biometric,0
TXN100248,USER3410,5252.51,Merchant,21,Android,Different State,0,2577,6,UPI PIN,0
TXN100249,USER3858,5765.72,Merchant,2,Web,Same City,1,2111,4,UPI PIN,0
TXN100250,USER1385,1238.68,Recharge,15,iOS,Different City,0,2074,3,Biometric,0
TXN100251,USER4289,674.61,Merchant,9,Web,Different City,0,1437,1,UPI PIN,0
TXN100252,USER1736,1671.19,Merchant,14,Android,Different State,1,3254,5,Auto Debit,0
TXN100253,USER2050,1641.24,Recharge,23,Android,Same City,2,1863,1,UPI PIN,0
TXN100254,USER1538,341.86,Recharge,8,iOS,Different State,0,184,3,Auto Debit,1
TXN100255,USER4761,1113.34,Merchant,3,iOS,Same City,0,286,3,Auto Debit,0
TXN100256,USER1622,1635.88,Merchant,12,Android,Different State,0,3990,3,UPI PIN,0
TXN100257,USER2030,1529.68,Merchant,16,Android,Same City,0,3670,2,UPI PIN,0
TXN100258,USER3001,2611.35,P2P,2,Android,Same City,1,974,4,Biometric,0
TXN100259,USER3183,4745.29,Bill Payment,14,Web,Same City,0,208,1,Biometric,1
TXN100260,USER1165,4610.11,P2P,8,Android,Same City,0,670,1,Auto Debit,0
TXN100261,USER4173,2113.02,Bill Payment,1,Android,Same City,0,3989,4,UPI PIN,0
TXN100262,USER2169,2052.37,Recharge,13,Android,Same City,0,3108,5,UPI PIN,0
TXN100263,USER4513,860.35,Bill Payment,21,Android,Different State,0,909,3,UPI PIN,0
TXN100264,USER3249,441.81,Bill Payment,2,Android,Same City,0,1138,4,Biometric,0
TXN100265,USER4426,845.29,Merchant,0,iOS,Same City,0,3990,5,UPI PIN,0
TXN100266,USER4174,3543.62,Bill Payment,12,Android,Same City,0,694,3,UPI PIN,1
TXN100267,USER2453,679.93,Merchant,11,Android,Same City,2,673,5,Biometric,0
TXN100268,USER3505,5668.1,Merchant,22,Android,Same City,1,1742,5,UPI PIN,0
TXN100269,USER2754,1210.6,P2P,12,iOS,Same City,0,240,2,UPI PIN,0
TXN100270,USER3184,8220.45,Recharge,21,Android,Same City,0,1568,4,Biometric,1
TXN100271,USER1288,5213.37,P2P,15,iOS,Same City,1,2392,5,UPI PIN,0
TXN100272,USER1908,3465.51,P2P,19,iOS,Same City,0,2306,4,UPI PIN,1
TXN100273,USER4195,519.29,Bill Payment,18,Android,Different State,0,527,4,Biometric,0
TXN100274,USER2321,413.0,Bill Payment,22,iOS,Same City,0,2184,4,Auto Debit,0
TXN100275,USER2572,661.5,P2P,16,Android,Different State,0,3473,4,Biometric,0
TXN100276,USER3397,1066.49,Recharge,4,Android,Different State,0,3538,0,UPI PIN,0
TXN100277,USER2380,406.97,Bill Payment,10,Android,Different City,1,3366,3,Auto Debit,0
TXN100278,USER4652,1253.39,Merchant,15,Android,Same City,0,567,1,UPI PIN,0
TXN100279,USER1474,381.98,P2P,7,Android,Same City,0,2674,3,UPI PIN,0
TXN100280,USER4188,120.8,Recharge,8,Android,Same City,0,3655,2,UPI PIN,0
TXN100281,USER3801,5761.72,Merchant,1,Android,Same City,0,1492,4,Auto Debit,0
TXN100282,USER3150,191.36,Merchant,1,Android,Same City,1,2916,3,Auto Debit,0
TXN100283,USER2032,51.5,Recharge,5,iOS,Same City,1,663,2,Biometric,0
TXN100284,USER3499,784.91,Recharge,0,Android,Different City,0,520,3,Biometric,0
TXN100285,USER2575,2534.32,P2P,6,Android,Different City,1,2784,3,UPI PIN,0
TXN100286,USER4156,359.98,Bill Payment,2,Android,Same City,0,2342,4,UPI PIN,1
TXN100287,USER2053,2117.88,Recharge,13,iOS,Same City,1,2674,3,UPI PIN,1
TXN100288,USER4348,2308.93,Recharge,22,iOS,Different City,0,2960,5,UPI PIN,0
TXN100289,USER4804,982.49,P2P,15,iOS,Different City,1,2441,5,UPI PIN,0
TXN100290,USER3376,17.1,Bill Payment,20,Android,Same City,1,1025,6,UPI PIN,0
TXN100291,USER4735,1687.79,Merchant,17,iOS,Same City,1,3789,3,Biometric,0
TXN100292,USER3093,1098.67,Bill Payment,17,iOS,Same City,0,2357,2,UPI PIN,0
TXN100293,USER3803,1391.12,P2P,6,Android,Same City,0,255,1,UPI PIN,0
TXN100294,USER4456,641.35,Merchant,8,iOS,Same City,1,1945,1,Biometric,0
TXN100295,USER2656,2259.18,Recharge,3,Android,Same City,1,2353,2,UPI PIN,0
TXN100296,USER3228,8788.03,Merchant,8,Android,Same City,0,2396,2,UPI PIN,0
TXN100297,USER2178,1620.59,P2P,12,Android,Same City,0,3954,4,Auto Debit,0
TXN100298,USER1991,193.51,Merchant,0,Android,Same City,1,2070,2,Biometric,1
TXN100299,USER4718,2998.5,Bill Payment,23,Android,Same City,0,2579,2,UPI PIN,1
TXN100300,USER2075,596.57,Bill Payment,14,Android,Different City,0,617,1,UPI PIN,0
TXN100301,USER3650,604.04,P2P,22,Android,Same City,0,949,4,UPI PIN,0
TXN100302,USER2159,5185.71,Merchant,12,iOS,Same City,0,3380,2,UPI PIN,0
